,usaf,name,state,lat,lon
1151,997302,FRANCIS SCOTT KEY BR,MD,39.22,-76.52
1152,997304,LEWISETTA  VA,VA,37.98,-76.47
1153,997305,MONEY POINT  VA,VA,36.77,-76.3
1154,997307,OREGON INLET MARINA,NC,35.8,-75.53
1155,997308,RAPPAHANNOCK LGT,VA,37.53,-76.02
1156,997309,SOLOMONS ISLAND,MD,38.32,-76.45
1157,997312,TOLCHESTER BEACH,MD,39.2,-76.23
1158,997313,WACHAPREAGUE,VA,37.6,-75.68
1159,997314,WASHINGTON,DC,38.87,-77.02
1160,997315,YORKTOWN  VA,VA,37.22,-76.48
1161,997345,CLEARWATER BEACH,FL,27.97,-82.83
1162,997351,NAPLES,FL,26.12,-81.8
1163,997352,PANAMA CITY BEACH,FL,30.22,-85.88
1164,997353,ST PETERSBURG,FL,27.75,-82.62
1165,997354,TRIDENT PIER,FL,28.42,-80.58
1166,997356,VACA KEY,FL,24.72,-81.1
1167,997360,BAYOU GAUCHE,LA,29.77,-90.42
1168,997361,EAGLE POINT,TX,29.48,-94.92
1169,997366,MALAQUITE BEACH,TX,27.58,-97.22
1170,997369,PORT ISABEL,TX,26.05,-97.22
1171,997708,YORK RIVER E RANGE,VA,37.25,-76.33
1172,998014,WAQUIOT BAY RESERVE,MA,41.583,-70.517
1173,998167,KACHEMAK BAY RESERVE,AK,59.6,-151.417
1174,998017,CHESAPEAKE BAY,VA,37.417,-76.717
1175,997991,HUDSON RIVER RESERVE,NY,42.017,-73.917
1176,998002,JACQUES COUSTEAU RESERVE,NJ,39.533,-74.45
1185,722216,NORTH AF AUX,SC,33.615,-81.084
1198,720386,WILLMAR MUNICIPAL AIRPORT JOH,MN,45.117,-95.133
1199,720402,SKYHAVEN,MO,38.784,-93.803
1200,720403,KICKAPOO DOWNTOWN AIRPARK,TX,33.858,-98.49
1205,726225,PLATTSBURGH INTERNATIONAL AIR,NY,44.65,-73.467
1206,723620,SOCORRO MUNICIPAL AP,NM,34.067,-106.9
1207,722561,TSTC WACO,TX,31.638,-97.074
1208,A00023,WHITEHOUSE NAVAL OUTLYING FIE,FL,30.35,-81.883
1209,A00024,CHOCTAW NAVAL OUTLYING FIELD,FL,30.507,-86.96
1210,725172,NAVAL AUXILIARY LANDING FIELD,VA,36.695,-76.136
1212,720389,ST MARY'S RGNL / LEONARD TOWN,MD,38.317,-76.55
1213,720396,TP MCCAMPBELL,TX,27.913,-97.212
1214,720398,WAUTOMA MUNI,WI,44.042,-89.304
1215,725291,RIDGELY AIRPARK,MD,38.97,-75.866
1216,725293,GARRETT CO,MD,39.58,-79.339
1217,725296,BOWMAN MUNI,ND,46.187,-103.428
1218,703926,AKHIOK,AK,56.933,-154.183
1226,723425,HARRELL FIELD AIRPORT,AR,33.617,-92.767
1229,720387,HOBBS,NM,32.767,-103.217
1231,726720,RIVERTON REGIONAL AIRPORT,WY,43.064,-108.459
1239,720165,WARNER SPRINGS GLIDERPORT,CA,34.264,-116.854
1244,997298,CHEASAPEAKE BIO LAB,VA,38.317,-76.45
1245,747350,JAYTON  TX.                  ,TX,33.017,-100.983
1246,720383,WHITING FIELD NAVAL AIR STATI,FL,30.704,-87.023
1248,725196,GRIFFIS AIRFIELD,NY,43.234,-75.412
1252,722205,THEDFORD(NEXRAD)             ,NE,41.95,-100.583
1254,A00022,SOUTHLAND FIELD AIRPORT,LA,30.131,-93.376
1255,A00021,KEE FIELD AIRPORT,WV,37.601,-81.559
1256,720294,WASHINGTON-WILKES CO ARPT,GA,33.78,-82.816
1257,722244,COLLEGE PARK AP,MD,38.981,-76.922
1259,702626,PILOT POINT,AK,57.58,-157.58
1262,720369,DRIGGS-REED MEMORIAL AIRPORT,ID,43.743,-111.098
1263,720373,PLANT CITY MUNICIPAL AIRPORT,FL,28.0,-82.164
1264,720374,PETER O KNIGHT AIRPORT,FL,27.916,-82.449
1265,722243,RICHMOND COUNTY AIRPORT,NC,34.891,-79.759
1266,722248,SOUTHLAND FIELD AIRPORT,LA,30.131,-93.376
1267,720371,HREE RIVERS MUNICIPAL DR HAIN,MI,41.96,-85.593
1268,722249,HOOK FIELD MUNICIPAL AIRPORT,OH,39.531,-84.395
1269,742077,ROCKINGHAM COUNTY NC SHILOH A,NC,36.437,-79.851
1270,724389,SHIP SHOAL 207A              ,LA,28.517,-90.967
1271,722253,MOREHOUSE MEMORIAL AIRPORT,LA,32.756,-91.881
1272,A00012,BRAXTON COUNTY AIRPORT,WV,38.687,-80.652
1273,722252,MYERS FIELD AIRPORT,MN,44.729,-96.266
1276,742079,MASON COUNTY AIRPORT,WV,38.915,-82.099
1277,742078,PLYMOUTH MUNICIPAL AIRPORT,NH,43.779,-71.754
1278,724739,CARRABELLE THOMPSON,FL,29.842,-84.701
1279,724741,LA BELLE MUNI,FL,26.744,-81.433
1280,724742,VANDENBERG,FL,28.02,-82.35
1283,702627,RUBY AIRPORT,AK,64.727,-155.47
1287,720362,MAC CRENSHAW MEMORIAL AIRPORT,AL,31.846,-86.611
1288,720363,WEEDON FIELD AIRPORT,AL,31.951,-85.129
1289,722238,HANCHEY ARMY HELIPORT (FORT R,AL,31.35,-85.667
1291,720375,DRUMMOND ISLAND AIRPORT,MI,46.007,-83.743
1292,725292,GRINNELL REGIONAL AIRPORT,IA,41.709,-92.735
1293,725514,WEBSTER NAVAL OUTLYING FIELD,MD,38.142,-76.429
1298,742010,PORT ANGELES CGAS,WA,48.141,-123.414
1299,726764,YELLOWSTONE AIRPORT,MT,44.683,-111.117
1301,722819,MULTI PURPOSE RANGE,KS,39.294,-96.926
1302,720361,FLORALA MUNI,AL,31.043,-86.312
1307,722826,SITE R,PA,39.733,-77.433
1308,702685,ATQASUK EDWARD BURNELL SR. ME,AK,70.467,-157.436
1312,720379,WAYNE COUNTY AIRPORT,KY,36.855,-84.856
1314,722817,ELLICOTT-B AFA,CO,38.767,-104.3
1315,722823,CAMP DAVID,MD,39.645,-77.468
1316,720381,JACK EDWARDS AIRPORT,AL,30.291,-87.672
1317,720355,GREATER CUMBERLAND REGIONAL A,MD,39.6,-78.767
1318,724043,EASTON/NEWNAM FIELD AIRPORT,MD,38.804,-76.069
1319,722251,RUSTON REGIONAL AIRPORT,LA,32.514,-92.588
1320,722403,SALT POINT,LA,29.562,-91.526
1321,720376,THE ALBERTVILLE MUNI ARPT-THO,AL,34.229,-86.256
1322,A00026,COUPEVILLE/NOLF,WA,48.217,-122.633
1323,703605,PLATINUM AIRPORT,AK,59.011,-161.82
1324,722041,SOUTH LAFOURCHE AIRPORT,LA,29.445,-90.261
1325,703052,KALSKAG AIRPORT,AK,61.536,-160.341
1326,720753,KEN JERNSTEDT,OR,45.672,-121.536
1327,702035,SAVOONGA AIRPORT,AK,63.687,-170.493
1328,A00014,DONA ANA COUNTY AIRPORT AT SA,NM,31.883,-106.717
1329,700635,GALBRAITH LAKE AIRPORT,AK,68.479,-149.49
1330,702185,MEKORYUK AIRPORT,AK,60.383,-166.2
1331,723762,SANTA YNEZ AIRPORT,CA,34.607,-120.076
1332,726763,WEATHER SERVICE OFFICE,MT,44.65,-111.1
1333,725074,QUONSET STATE AIRPORT,RI,41.597,-71.412
1334,701045,RED DOG AIRPORT,AK,68.031,-162.903
1335,740030,MICHAEL AAF AIRPORT,UT,40.183,-112.933
1336,702615,WAINWRIGHT AAF AIRPORT,AK,64.838,-147.614
1337,723034,MACKALL AAF AIRPORT,NC,35.033,-79.5
1338,723231,REDSTONE ARMY AIRFIELD,AL,34.679,-86.685
1339,723535,VANCE AIR FORCE BASE,OK,36.333,-97.917
1340,723894,MAMMOTH YOSEMITE AIRPORT,CA,37.633,-118.85
1341,724057,PHILLIPS ARMY AIRFIELD,MD,39.472,-76.17
1342,724295,SPRINGFIELD-BECKLEY MUNICIPAL,OH,39.84,-83.84
1343,725144,MUIR ARMY AIRFIELD (FORT INDI,PA,40.433,-76.567
1344,725483,FORT MADISON MUNICIPAL APT,IA,40.659,-91.327
1345,747320,HOLLOMAN AFB AIRPORT,NM,32.85,-106.1
1346,747810,MOODY AFB AIRPORT,GA,30.967,-83.2
1347,911977,BRADSHAW ARMY AIRFIELD,HI,19.76,-155.554
1348,722090,WRIGHT AAF AIRPORT,GA,31.883,-81.567
1349,722275,ANDALUSIA-OPP MUNICIPAL AIRPO,AL,31.309,-86.394
1350,702648,CANTWELL AIRPORT,AK,63.391,-148.956
1351,724773,GREEN RIVER RANGE,UT,39.0,-110.15
1352,725827,WILD HORSE RESERVOIR,NV,41.636,-115.802
1353,726839,JOHN DAY STATE ARPT,OR,44.404,-118.963
1354,702650,EIELSON AFB AIRPORT,AK,64.683,-147.083
1355,722953,MOJAVE AIRPORT,CA,35.067,-118.15
1356,725204,BEAVER COUNTY AIRPORT,PA,40.767,-80.4
1357,725354,ELKHART MUNICIPAL AIRPORT,IN,41.717,-85.983
1358,700631,ATKA AIRPORT,AK,52.22,-174.206
1359,701718,AMBLER AIRPORT,AK,67.1,-157.85
1360,701745,CHANDALAR LAKE AIRPORT,AK,67.511,-148.493
1361,701793,MANLEY HOT SPRINGS,AK,64.999,-150.638
1362,702084,EMMONAK,AK,62.785,-164.491
1363,702312,FAREWELL LAKE SEAPLANE BASE,AK,62.543,-153.623
1364,702495,HAYES RIVER AIRPORT,AK,61.983,-152.083
1365,702647,HEALY RIVER AIRPORT,AK,63.866,-148.969
1366,702675,PAXSON AIRPORT,AK,63.032,-145.498
1367,702695,JONESVILLE MINE AIRPORT,AK,61.714,-148.909
1368,702745,WILLOW AIRPORT,AK,61.748,-150.054
1369,702755,MCCARTHY AIRPORT,AK,61.437,-142.904
1370,702757,WHITTIER AIRPORT,AK,60.783,-148.733
1371,702913,DEVILS MOUNTAIN LODGE AIRPORT,AK,62.402,-142.995
1372,702915,DUFFY'S TAVERN AIRPORT,AK,62.709,-143.981
1373,702986,BIG RIVER LAKE,AK,60.814,-152.297
1374,703057,TOKSOOK BAY AIRPORT,AK,60.541,-165.087
1375,703407,SLEETMUTE AIRPORT,AK,61.717,-157.15
1376,703886,PORT ALEXANDER SPB,AK,56.247,-134.645
1377,720141,MARSHALL CO,IL,41.019,-89.386
1378,720160,KEE FLD,WV,37.601,-81.559
1379,720259,MACON CO,NC,35.223,-83.419
1380,720262,MC ELROY AFLD,CO,40.054,-106.369
1381,720264,TAZEWELL COUNTY AIRPORT,VA,37.064,-81.798
1382,720281,WILBARGER CO,TX,34.226,-99.284
1383,720302,CRKVIL-RED RIVER CO ARPT,TX,33.593,-95.064
1384,720318,GRAHAM MUNICIPAL AIRPORT,TX,33.11,-98.555
1385,720366,BRAXTON CO,WV,38.687,-80.652
1386,722017,WINTER HAVEN,FL,28.062,-81.754
1387,722072,CLARKSVILLE,TN,36.624,-87.419
1388,722162,MERRILL PASS WEST,AK,61.267,-153.8
1389,722224,PERRY FOLEY,FL,30.072,-83.574
1390,722245,PANAMA CITY-BAY CO. INT AP,FL,30.212,-85.683
1391,722333,SAGUACHE MUNICIPAL AIRPORT,CO,38.097,-106.169
1392,722334,BEAUREGARD REGIONAL AIRPORT,LA,30.833,-93.333
1393,722553,BRENHAM MUNI,TX,30.219,-96.374
1394,722554,FAYETTE RGNL AIR CTR,TX,29.908,-96.95
1395,722825,TONOPAH TEST RANGE #74       ,NV,37.617,-116.264
1396,723144,RURFTON CO-MARCHMAN FLD AP,NC,35.428,-81.935
1397,723529,ARDMORE DOWNTOWN EXE,OK,34.147,-97.123
1398,723657,TORREON,NM,35.799,-107.181
1399,723675,CHAMA AWRS,NM,36.9,-106.583
1400,723826,INYOKERN AIRPORT,CA,35.667,-117.833
1401,724008,HALIFAX COUNTY AIRPORT,NC,36.439,-77.71
1402,724165,GRANT CO,WV,38.994,-79.144
1404,725187,CLINTON COUNTY AIRPORT,NY,44.687,-73.523
1405,725489,ORANGE CITY MUNICIPAL ARPT,IA,42.99,-96.063
1406,725715,HAYDEN/YAMPA (AWOS)          ,CO,40.481,-107.218
1407,725824,EUREKA (RAMOS)               ,NV,39.601,-116.006
1408,725868,ALLEN H TIGERT AIRPORT,ID,42.65,-111.583
1409,726502,CLINTONVILLE MUNICIPAL AIRPOR,WI,44.614,-88.731
1411,726676,DAWSON COMMUNITY AIRPORT,MT,47.133,-104.8
1412,726987,CASCADE LOCKS STATE AIRPORT,OR,45.683,-121.883
1413,727503,CAMBRIDGE MUNICIPAL ARPT,MN,45.559,-93.265
1414,727556,SILVER BAY MUNICIPAL ARPT,MN,47.249,-91.416
1415,727840,HANFORD AIRPORT,WA,46.567,-119.6
1416,727854,DEER PARK ARPT,WA,47.974,-117.428
1417,727926,TOLEDO-WINLOCK ED CARLSON MEM,WA,46.483,-122.817
1418,746939,HORACE WILLIAMS AIRPORT,NC,35.933,-79.064
1419,747186,CAMPO,CA,32.626,-116.468
1420,911904,KAPTALUA AIRPORT,HI,20.963,-156.675
1421,A00009,PERRY-FOLEY AIRPORT,FL,30.072,-83.574
1422,A00011,CHEROKEE COUNTY AIRPORT,GA,34.311,-84.424
1423,A00032,ATKA AIRPORT,AK,52.22,-174.206
1424,703985,METLAKATLA SEAPLANE BASE,AK,55.131,-131.578
1425,720348,BALDWIN COUNTY AIRPORT,GA,33.154,-83.241
1426,727449,MOOSE LAKE CARLTON CO ARPT,MN,46.419,-92.804
1427,703050,CAPE HEWENHAM LRRS AIRPORT,AK,58.65,-162.067
1428,703655,HUSLIA AIRPORT,AK,65.698,-156.351
1429,723400,NORTH LITTLE ROCK AIRPORT,AR,34.835,-92.26
1430,726130,MT. WASHINGTON OBSERVATORY,NH,44.27,-71.303
1431,700001,PORTAGE GLACIER,AK,60.785,-148.839
1432,700197,SELAWIK,AK,66.6,-159.986
1433,700632,BUCKLAND AIRPORT,AK,65.983,-161.133
1434,700634,UGNU-KUPRAUK AIRPORT,AK,70.331,-149.598
1435,701040,CAPE LISBURNE LRRS AIRPORT,AK,68.867,-166.133
1436,701170,TIN CITY LRRS AIRPORT,AK,65.563,-167.921
1437,701195,SHISHMAREF/NEW AIRPORT,AK,66.25,-166.089
1438,701210,POINT LAY LRRS AIRPORT,AK,69.733,-163.005
1439,701335,NOATAK AIRPORT,AK,67.566,-162.975
1440,701486,KIVALINA AIRPORT,AK,67.732,-164.548
1441,701625,ANAKTUVUK PASS AIRPORT,AK,68.167,-151.767
1442,701945,ARCTIC VILLAGE AIRPORT,AK,68.115,-145.579
1443,701975,EAGLE AIRPORT,AK,64.777,-141.148
1444,702005,ST MARY'S AIRPORT,AK,62.062,-163.3
1445,702006,KALTAG AIRPORT,AK,64.327,-158.742
1446,702075,ANVIK AIRPORT,AK,62.65,-160.183
1447,702120,CAPE ROMANZOF LRRS ARPT,AK,61.783,-166.033
1448,702186,HOOPER BAY AIRPORT,AK,61.524,-166.147
1449,702220,GALENA AIRPORT,AK,64.737,-156.934
1450,702223,KOYUK AIRPORT,AK,64.935,-161.155
1451,702315,TATALINA LRRS AIRPORT,AK,62.894,-155.976
1452,702350,SPARREVOHN LRRS AIRPORT,AK,61.1,-155.583
1453,702490,PUNTILLA LAKE,AK,62.091,-152.735
1454,702595,SOLDOTNA AIRPORT,AK,60.476,-151.034
1455,702606,CHULITNA,AK,62.826,-149.907
1456,702645,MCKINLEY NATIONAL PARK AIRPOR,AK,63.733,-148.917
1457,702715,SKELTON AIRPORT,AK,61.949,-147.169
1458,702720,ELMENDORF AFB AIRPORT,AK,61.253,-149.794
1459,702746,BIRCHWOOD AIRPORT,AK,61.416,-149.507
1460,702756,VALDEZ PIONEER FIELD AIRPORT,AK,61.132,-146.244
1461,702758,ALPINE AIRSTRIP,AK,70.344,-150.945
1462,702770,SEWARD AIRPORT,AK,60.128,-149.417
1463,703051,HOLY CROSS AIRPORT,AK,62.183,-159.767
1464,703053,RUSSIAN MISSION AIRPORT,AK,61.775,-161.319
1465,703056,MOUNTAIN VILLAGE AIRPORT,AK,62.095,-163.682
1466,703061,IGIUGIG AIRPORT,AK,59.324,-155.902
1467,703210,DILLINGHAM AIRPORT,AK,59.05,-158.517
1468,703330,PORT HEIDEN AIRPORT,AK,56.959,-158.632
1469,703333,CHIGNIK AIRPORT,AK,56.311,-158.373
1470,703334,EGEGIK AIRPORT,AK,58.185,-157.386
1471,703606,TOGIAK AIRPORT,AK,59.067,-160.367
1472,703621,SELDOVIA AIRPORT,AK,59.443,-151.702
1473,703644,NUIQSUT AIRPORT,AK,70.212,-151.002
1474,703817,ELFIN COVE SEAPLANE BASE,AK,58.192,-136.344
1475,703835,ST. GEORGE AIRPORT,AK,56.6,-169.565
1476,703855,KAKE AIRPORT,AK,56.967,-133.9
1477,703870,WRANGELL AIRPORT,AK,56.473,-132.387
1478,720151,ALPINE-CASPARIS MUNI ARPT,TX,30.383,-103.683
1479,720170,METROPOLIS MUNICIPAL AIRPORT,IL,37.186,-88.751
1480,720172,MENA INTERMOUNTAIN MUNICIPAL,AR,34.545,-94.203
1481,720198,MUNISING LAKESHORE,MI,46.412,-86.65
1482,720258,ISEDOR IVERSON AIRPORT,MN,46.619,-93.31
1483,720261,BRIDGEPORT MUNICIPAL ARPT,TX,33.175,-97.828
1484,720265,THOMAS C RUSSELL FLD ARPT,AL,32.915,-85.963
1485,720266,WARSAW MUNICIPAL AIRPORT,IN,41.275,-85.84
1486,720267,AUBURN MUNICIPAL AIRPORT,CA,38.955,-121.082
1487,720268,DCATR CO INDUS AIRPK ARPT,GA,30.983,-84.633
1488,720269,BROOKS COUNTY AIRPORT,TX,27.207,-98.121
1489,720271,BIG SRNG MCMHN-WRKLE ARPT,TX,32.213,-101.521
1490,720272,SKAGIT REGIONAL AIRPORT,WA,48.467,-122.417
1491,720274,COLUMBUS CO MUNICIPAL ARPT,NC,34.273,-78.715
1492,720275,TOLEDO SUBURBAN AIRPORT,MI,41.736,-83.655
1493,720276,EDINBURG INTL AIRPORT,TX,26.442,-98.129
1494,720277,SHELBY MUNICIPAL AIRPORT,NC,35.256,-81.601
1495,720278,EMPORIA-GRENVLE RGNL ARPT,VA,36.687,-77.483
1496,720279,CURTIS L BROWN JR FLD ARPT,NC,34.602,-78.578
1497,720283,FILLMORE COUNTY AIRPORT,MN,43.677,-92.18
1498,720284,FITCH H BEACH AIRPORT,MI,42.574,-84.811
1499,720285,MIDDLE PENINSULA REGIONAL AIR,VA,37.521,-76.765
1500,720286,GRANBURY MUNICIPAL ARPT,TX,32.444,-97.817
1501,720287,GRAYSON COUNTY AIRPORT,TX,33.714,-96.674
1502,720288,HENDERSON-OXFORD AIRPORT,NC,36.361,-78.529
1503,720291,MESQUITE METROPOLITAN ARPT,TX,32.747,-96.531
1504,720293,INDEPENDENCE MUNICIPAL APT,IA,42.453,-91.948
1505,720295,HILLSBORO MUNICIPAL ARPT,TX,32.084,-97.097
1506,720297,WILLIAMSBURG-JAMESTOWN APT,VA,37.239,-76.716
1507,720298,CHEROKEE COUNTY AIRPORT,TX,31.869,-95.218
1508,720299,MID-WAY REGIONAL AIRPORT,TX,32.456,-96.913
1509,720303,HEARNE MUNICIPAL AIRPORT,TX,30.872,-96.622
1510,720305,DECATUR MUNICIPAL AIRPORT,TX,33.254,-97.581
1511,720306,LEE'S SUMMIT MUNICIPAL APT,MO,38.96,-94.371
1512,720307,MADISON CO EXECUTIVE ARPT,AL,34.861,-86.557
1513,720308,MILLARD AIRPORT,NE,41.196,-96.112
1514,720309,MOUNT PLEASANT MUNI ARPT,IA,40.947,-91.511
1515,720311,MOUNT PLEASANT RGNL ARPT,TX,33.096,-94.961
1516,720312,PELLA MUNICIPAL AIRPORT,IA,41.4,-92.946
1517,720313,PERRY LEFORS FIELD AIRPORT,TX,35.613,-100.996
1518,720314,PALESTINE MUNICIPAL ARPT,TX,31.78,-95.706
1519,720315,PERRYTON OCHILTREE CO ARPT,TX,36.414,-100.75
1520,720316,NUECES COUNTY ARIPORT,TX,27.779,-97.691
1521,720317,STAFFORD REGIONAL AIRPORT,VA,38.398,-77.456
1522,720319,ROBINSON MUNICIPAL AIRPORT,IL,39.016,-87.65
1523,720320,CLEBURNE MUNICIPAL AIRPORT,TX,32.354,-97.434
1524,720321,CHEBOYGAN COUNTY AIRPORT,MI,45.654,-84.519
1525,720322,SANDPOINT AIRPORT,ID,48.299,-116.56
1526,720323,GILLESPIE CO,TX,30.243,-98.91
1527,720324,QUAKERTOWN AIRPORT,PA,40.435,-75.382
1528,720326,VINTON VETERANS MEMORIAL AIRP,IA,42.219,-92.026
1529,720327,MENOMONIE MUNICIPAL AIRPORT-S,WI,44.892,-91.868
1530,720328,UPSHUR COUNTY RGNL AIRPORT,WV,39.0,-80.274
1531,720330,MOUNT CARMEL MUNICIPAL AIRPOR,IL,38.607,-87.727
1532,720342,WATONGA AIRPORT,OK,35.864,-98.421
1533,720343,WAUPACA MUNICIPAL AIRPORT,WI,44.333,-89.02
1534,720344,CHEROKEE MUNICIPAL AIRPORT/  ,IA,42.732,-95.556
1535,720345,RALPH WENZ FIELD AIRPORT,WY,42.796,-109.807
1536,720351,OSKALOOSA MUNICIPAL AIRPORT,IA,41.226,-92.491
1537,722003,STANTON AIRFIELD,MN,44.476,-93.016
1538,722004,HARRY STERN AIRPORT,ND,46.244,-96.607
1539,722006,QUENTIN AANENSON FIELD AIRPOR,MN,43.621,-96.216
1540,722008,MUSTANG BEACH AIRPORT,TX,27.812,-97.089
1541,722011,KISSIMMEE GATEWAY AIRPORT,FL,28.29,-81.437
1542,722016,THE FL KEYS MARATHON ARPT,FL,24.726,-81.052
1543,722031,FOLSOM FIELD AP,AL,34.269,-86.858
1544,722032,WASECA MUNICIPAL AIRPORT,MN,44.074,-93.553
1545,722033,GRANITE FALLS MUNI ARPT/LENZE,MN,44.753,-95.556
1546,722034,CHARLOTTE COUNTY AIRPORT,FL,26.917,-81.991
1547,722039,FT LAUDER EXECUTIVE ARPT,FL,26.197,-80.171
1548,722042,WOOD COUNTY AIRPORT MINEOLA,TX,32.742,-95.496
1549,722044,ADA MUNICIPAL AIRPORT,OK,34.804,-96.671
1550,722046,SPACE COAST REGIONAL AIRPORT,FL,28.517,-80.8
1551,722049,POMPANO BEACH AIRPARK ARPT,FL,26.25,-80.108
1552,722052,ALVA REGIONAL AIRPORT,OK,36.773,-98.67
1553,722055,OCALA INTERNATIONAL AIRPORT-J,FL,29.167,-82.233
1554,722059,BURLINGTON MUNICIPAL ARPT,WI,42.69,-88.304
1555,722061,COPPER MOUNTAIN,CO,39.467,-106.15
1556,722062,DOUGLAS MUNICIPAL AIRPORT,GA,31.477,-82.861
1557,722067,CECIL FIELD AIRPORT,FL,30.219,-81.876
1558,722069,DESTIN-FT.WALTON BEACH APT,FL,30.4,-86.472
1559,722071,CHICKASHA MUNICIPAL ARPT,OK,35.096,-97.966
1560,722073,SAMPSON COUNTY AIRPORT,NC,34.976,-78.364
1561,722074,CARMI MINICIPAL AIRPORT,IL,38.089,-88.123
1562,722076,VERMILION COUNTY AIRPORT,IL,40.2,-87.6
1563,722078,HALLIBURTON FIELD AIRPORT,OK,34.471,-97.951
1564,722079,DAVIDSON COUNTY AIRPORT,NC,35.781,-80.304
1565,722091,CLAREMORE REGIONAL AIRPORT,OK,36.294,-95.479
1566,722093,GRAYLING ARMY AIRFIELD,MI,44.68,-84.729
1567,722094,GRAND PRAIRIE MUNICIPAL AIRPO,TX,32.699,-97.047
1568,722095,GUYMON MUNICIPAL AIRPORT,OK,36.682,-101.505
1569,722096,HENDERSON EXECUTIVE ARPT,NV,35.976,-115.133
1570,722097,HARLAN MUNICIPAL AIRPORT,IA,41.584,-95.339
1571,722098,EAST HAMPTON AIRPORT,NY,40.96,-72.252
1572,722101,WOLF CREEK PASS AWOS-3 AIRPOR,CO,37.45,-106.8
1573,722103,ST LUCIE COUNTY INTL ARPT,FL,27.498,-80.377
1574,722107,GAINES COUNTY AIRPORT,TX,32.675,-102.654
1575,722108,SW FLORIDA INTN AIRPORT,FL,26.536,-81.755
1576,722112,FOX STEPHENS FIELD - GILMER M,TX,32.699,-94.949
1577,722115,SARASOTA/BRADENTON INTL AP,FL,27.401,-82.559
1578,722116,ST PETE-CLWTR INTL AIRPORT,FL,27.911,-82.688
1579,722122,WINSTON FIELD AIRPORT,TX,32.693,-100.951
1580,722124,HEBRON MUNICIPAL AIRPORT,NE,40.149,-97.587
1581,722125,SAGNAW CO H.W. BROWNE ARPT,MI,43.433,-83.867
1582,722128,LICONTN-LINCOLN CO RGNL AP,NC,35.483,-81.161
1583,722129,MOORHEAD MUNICIPAL AIRPORT,MN,46.839,-96.663
1584,722131,JOHNSTON COUNTY AIRPORT,NC,35.541,-78.39
1585,722132,CONCORD REGIONAL AIRPORT,NC,35.39,-80.707
1586,722133,SALLISAW MUNICIPAL AIRPORT,OK,35.438,-94.803
1587,722143,LANCASTER AIRPORT,TX,32.579,-96.719
1588,722144,MAPLE LAKE MUNICIPAL ARPT,MN,45.236,-93.986
1589,722148,STANLEY COUNTY AIRPORT,NC,35.417,-80.151
1590,722151,WESTERLY STATE AIRPORT,RI,41.35,-71.799
1591,722157,MACOMB MUNICIPAL AIRPORT,IL,40.52,-90.652
1592,722159,MID VALLEY AIRPORT,TX,26.178,-97.973
1593,722168,OLIVIA REGIONAL AIRPORT,MN,44.779,-95.033
1594,722169,PECOS MUNICIPAL AIRPORT,TX,31.383,-103.511
1595,722172,EDGAR COUNTY AIRPORT,IL,39.7,-87.669
1596,722173,PAULS VALLEY MUNI AIRPORT,OK,34.711,-97.223
1597,722174,HALE COUNTY AIRPORT,TX,34.167,-101.717
1598,722177,ANDREWS-MURPHY AIRPORT,NC,35.195,-83.865
1599,722179,NEW RICHMOND MUNICIPAL APT,WI,45.15,-92.533
1600,722187,SHAWNEE MUNICIPAL AIRPORT,OK,35.357,-96.943
1601,722188,SEARCY MUNICIPAL AIRPORT,AR,35.212,-91.737
1602,722192,AVENGER FIELD AIRPORT,TX,32.473,-100.466
1603,722193,PERSON COUNTY AIRPORT,NC,36.285,-78.984
1604,722201,SANFORD-LEE COUNTY RGNL ARPT,NC,35.582,-79.101
1605,722202,GARNER FIELD AIRPORT,TX,29.211,-99.744
1606,722203,MONARCH PASS AWOS-3 ARPT     ,CO,38.483,-106.317
1607,722204,TRI-TOWNSHIP AIRPORT,IL,42.046,-90.108
1608,722208,ORCAS ISLAND AIRPORT,WA,48.708,-122.911
1609,722211,THOMAS COUNTY AIRPORT,NE,41.964,-100.569
1610,722212,ST AUGUSTINE AIRPORT,FL,29.959,-81.34
1611,722213,LEESBURG REGIONAL AIRPORT,FL,28.821,-81.81
1612,722214,MOORE COUNTY AIRPORT,TX,35.858,-102.013
1613,722241,WAYNE MUNICIPAL AIRPORT,NE,42.242,-96.983
1614,722247,SOMERSET AIRPORT,NJ,40.624,-74.669
1615,722279,PRYOR FIELD REGIONAL ARPT,AL,34.653,-86.945
1616,722285,GADSDEN MUNICIPAL AIRPORT,AL,33.967,-86.083
1617,722314,ACADIANA REGIONAL AIRPORT,LA,30.038,-91.884
1618,722324,MIDLAND AIRPARK,TX,32.036,-102.101
1619,722329,HARRY P WILLIAMS MEMO ARPT,LA,29.717,-91.333
1620,722332,TOMAHAWK REGIONAL AIRPORT,WI,45.469,-89.806
1621,722338,JIM HOGG COUNTY AIRPORT,TX,27.349,-98.737
1622,722341,ORMOND BEACH MUNICIPAL AIRPOR,FL,29.296,-81.113
1623,722342,TRACY MUNICIPAL AIRPORT,MN,44.249,-95.607
1624,722343,SOUTH HAVEN AREA REGIONAL AIR,MI,42.351,-86.256
1625,722348,HATTIESBURG-LAUREL RGNL AP,MS,31.467,-89.333
1626,722357,HRDY-ANRES FD NTCHZ-ADAMS COU,MS,31.617,-91.283
1627,722361,NEW SMYRNA BEACH MUNICIPAL AI,FL,29.054,-80.948
